dataset,seed,model,severity,n_test,n_errors,accuracy,confidence_all,confidence_correct,confidence_error,margin_all,margin_correct,margin_error,high_confidence_error_rate,vote_agreement,vote_agreement_error,vote_entropy,vote_entropy_error,disagreement_confidence_correlation
Breast Cancer,0,Logistic Regression,0.0,114,6,0.9473684210526315,0.9610434954103311,0.9783161509886438,0.6501356950007058,7.579714025166788,7.961310134339668,0.7109840600549422,0.0,,,,,
Breast Cancer,0,Logistic Regression,0.25,114,6,0.9473684210526315,0.9560738707279108,0.967846558507093,0.7441654907026288,7.451642364356228,7.8004883591028555,1.1724144589169303,0.0,,,,,
Breast Cancer,0,Logistic Regression,0.5,114,6,0.9473684210526315,0.956249990712193,0.9671187212516347,0.7606128410022452,7.641013210328398,7.975590176731287,1.6186278150764004,0.3333333333333333,,,,,
Breast Cancer,0,Logistic Regression,1.0,114,10,0.9122807017543859,0.95525043680914,0.9693636725788,0.8084727848046785,8.049259614830529,8.619879571001071,2.114812070656891,0.4,,,,,
Breast Cancer,0,Logistic Regression,1.5,114,18,0.8421052631578947,0.9272803493244054,0.9529298255168609,0.7904831429646422,8.193321804680217,9.266570201549875,2.4693303547087053,0.3888888888888889,,,,,
Breast Cancer,0,Logistic Regression,2.0,114,19,0.8333333333333334,0.955293126208673,0.9626640935838762,0.9184382893326581,9.014612861637449,9.73097615324159,5.432796403616732,0.8421052631578947,,,,,
Breast Cancer,0,Random Forest,0.0,114,5,0.956140350877193,0.9364357978279032,0.9495013543031892,0.6516066666666667,0.8728715956558063,0.8990027086063784,0.30321333333333345,0.2,0.9352631578947369,0.6752,0.2203168129578697,0.8444195467842824,-0.9916912529314718
Breast Cancer,0,Random Forest,0.25,114,9,0.9210526315789473,0.9015835004177111,0.9276679365079366,0.5972650793650793,0.8031670008354219,0.8553358730158731,0.19453015873015878,0.0,0.8995789473684211,0.6177777777777778,0.3422361145475201,0.9515522375764921,-0.9864296197497021
Breast Cancer,0,Random Forest,0.5,114,10,0.9122807017543859,0.8489643692564746,0.8704921245421245,0.6250757142857144,0.6979287385129491,0.7409842490842491,0.2501514285714285,0.0,0.8430175438596492,0.6492,0.508916704039934,0.9025408640307411,-0.9796304924109226
Breast Cancer,0,Random Forest,1.0,114,17,0.8508771929824561,0.7586566833751044,0.7872417771232204,0.5955535014005602,0.5173133667502089,0.5744835542464408,0.19110700280112045,0.0,0.7590175438596491,0.6409411764705881,0.726647071507033,0.9173670557183963,-0.9411069753307557
Breast Cancer,0,Random Forest,1.5,114,19,0.8333333333333334,0.6847874686716793,0.7046464160401003,0.585492731829574,0.3695749373433584,0.40929283208020045,0.17098546365914788,0.0,0.688561403508772,0.6296842105263158,0.8301163722587994,0.9354469711992279,-0.9349637588242671
Breast Cancer,0,Random Forest,2.0,114,33,0.7105263157894737,0.6694323308270674,0.7033155202821868,0.5862645021645022,0.3388646616541354,0.40663104056437394,0.17252900432900434,0.0,0.6756140350877193,0.6214545454545455,0.8612856083507229,0.9347878888968976,-0.89086762675575
Breast Cancer,0,Gradient Boosting,0.0,114,5,0.956140350877193,0.9726826939861888,0.9836461669263762,0.7336789838900977,6.043037606818547,6.2659403579731645,1.1837576316479257,0.2,,,,,
Breast Cancer,0,Gradient Boosting,0.25,114,7,0.9385964912280702,0.9638531998616414,0.9779644438757643,0.7481527556457633,5.478963371102785,5.757840390601994,1.216128930186311,0.14285714285714285,,,,,
Breast Cancer,0,Gradient Boosting,0.5,114,9,0.9210526315789473,0.9375663488093722,0.9512465356666251,0.7779641688080883,4.676407641655654,4.921291788938891,1.819425923351216,0.3333333333333333,,,,,
Breast Cancer,0,Gradient Boosting,1.0,114,13,0.8859649122807017,0.9182528813202697,0.933894419023614,0.7967301653173633,3.7260032428031544,3.960511363457547,1.9040555361805704,0.38461538461538464,,,,,
Breast Cancer,0,Gradient Boosting,1.5,114,33,0.7105263157894737,0.8801133781096494,0.921917786414713,0.7775025577244931,2.9743085862635854,3.5419170499728163,1.5810878117045635,0.2727272727272727,,,,,
Breast Cancer,0,Gradient Boosting,2.0,114,35,0.6929824561403509,0.8518767771192003,0.8940277366791979,0.7567360398266338,2.6331485000808765,3.125063487562229,1.5228260997658245,0.2571428571428571,,,,,
Breast Cancer,1,Logistic Regression,0.0,114,4,0.9649122807017544,0.9652161855218171,0.9725949148772292,0.7623011282479892,7.511147035865061,7.7246637035453105,1.6394386746582146,0.5,,,,,
Breast Cancer,1,Logistic Regression,0.25,114,4,0.9649122807017544,0.9701116993130137,0.9759202949473993,0.8103753193674081,7.576239982471936,7.786824310363481,1.785170965454451,0.5,,,,,
Breast Cancer,1,Logistic Regression,0.5,114,7,0.9385964912280702,0.9719510762448824,0.9853533303177782,0.7670880497020451,7.787674985404603,8.19791587213345,1.5168500025493807,0.2857142857142857,,,,,
Breast Cancer,1,Logistic Regression,1.0,114,5,0.956140350877193,0.9478972594042903,0.9535766489325485,0.8240865676882603,7.558827819379305,7.805532557139288,2.180664536211679,0.4,,,,,
Breast Cancer,1,Logistic Regression,1.5,114,16,0.8596491228070176,0.9620559763819512,0.9656555961776269,0.940008305133438,8.60763903252515,9.33310047185873,4.164187716606971,0.75,,,,,
Breast Cancer,1,Logistic Regression,2.0,114,24,0.7894736842105263,0.9631204843504365,0.9663101478124694,0.9511592463678135,9.100049566349444,9.9596694589226,5.876474969200125,0.875,,,,,
