dataset,seed,model,calibration,shift,severity,temperature,n_test,accuracy,mean_confidence,confidence_gap,ece,brier,nll,aurc
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,0.9473684210526315,0.9610434954103311,0.013675074357699546,0.03334327621519132,0.054457286910496,0.08434636430551076,0.002233562451301725
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,0.9473684210526315,0.9750267745291004,0.027658353476468833,0.038683641448602174,0.05939756498324358,0.09094436192753942,0.002233562451301725
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,0.9473684210526315,0.9560738707279038,0.008705449675272314,0.047887323484485975,0.07616438135978633,0.1139811691700932,0.004308896736530213
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,0.9473684210526315,0.9724445013527897,0.025076080300158177,0.05456028649974011,0.08402030788707723,0.13197589020700398,0.004308896736530213
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.5,0.6230715891594052,114,0.9473684210526315,0.9562499907121889,0.008881569659557331,0.05262666107045582,0.08215729814456471,0.13847048185202077,0.0056650084737443025
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.5,0.6230715891594052,114,0.9473684210526315,0.9703220243622801,0.022953603309648574,0.04058502351179755,0.08608990310469572,0.17343578179381103,0.0056650084737443025
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.0,0.6230715891594052,114,0.9122807017543859,0.9552504368091314,0.04296973505474544,0.07267467213507088,0.13632379483952003,0.2399500524722627,0.013035914514686588
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,0.9122807017543859,0.9693077770981195,0.057027075343733635,0.07198435125170224,0.14630854960506856,0.33522146943501413,0.013035914514686588
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,0.8421052631578947,0.9272803493244021,0.08517508616650737,0.10450388610218327,0.2300637398684285,0.47871267158344916,0.043169940846444786
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,0.8421052631578947,0.9492097464008331,0.10710448324293842,0.12436859001141334,0.24309243627726113,0.6879500357655354,0.043169940846444786
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,0.8333333333333334,0.9552931262086558,0.12195979287532244,0.15596991163685828,0.3098382674563906,0.9609604424844604,0.08172592660933027
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,0.8333333333333334,0.9667312217460976,0.13339788841276423,0.1536966739870956,0.315345356340593,1.494379170755275,0.08172592660933027
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,0.9473684210526315,0.9610434954103311,0.013675074357699546,0.03334327621519132,0.054457286910496,0.08434636430551076,0.002233562451301725
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,0.9473684210526315,0.9750267745291004,0.027658353476468833,0.038683641448602174,0.05939756498324358,0.09094436192753942,0.002233562451301725
