dataset,seed,model,calibration,shift,severity,temperature,n_test,bin,bin_lower,bin_upper,count,bin_confidence,bin_accuracy
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,2,0.5041594078330234,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,8,0.5333333333333333,0.6,2,0.5602905741705184,0.5
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,2,0.7120970718628991,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,11,0.7333333333333333,0.8,2,0.7576502857546887,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,12,0.8,0.8666666666666667,1,0.8289470475580423,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,8,0.890868984365236,0.875
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,14,0.9333333333333333,1.0,97,0.9952027306706757,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,2,0.506674825004696,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,8,0.5333333333333333,0.6,1,0.570339626946984,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,9,0.6,0.6666666666666666,1,0.6214017787546667,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,11,0.7333333333333333,0.8,1,0.785270832259455,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,12,0.8,0.8666666666666667,2,0.841173920396418,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,2,0.9006094793207045,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,14,0.9333333333333333,1.0,105,0.9969440343705971,0.9904761904761905
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,2,0.5231584077828583,0.5
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,8,0.5333333333333333,0.6,1,0.5707113016213071,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,9,0.6,0.6666666666666666,2,0.6318830013429964,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,2,0.7161873324342909,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,11,0.7333333333333333,0.8,2,0.7399283351976377,0.5
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,12,0.8,0.8666666666666667,4,0.8312449534018358,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,7,0.8953199884680926,0.7142857142857143
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,14,0.9333333333333333,1.0,94,0.9958210220740444,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,1,0.5306166497548794,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,8,0.5333333333333333,0.6,1,0.5436281979278654,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,9,0.6,0.6666666666666666,1,0.6123061056866836,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,2,0.7038403381976761,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,12,0.8,0.8666666666666667,4,0.828929935009498,0.25
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,3,0.9229322715956347,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,14,0.9333333333333333,1.0,102,0.9968620095061601,0.9803921568627451
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.5,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,1,0.5228568307642818,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.5,0.6230715891594052,114,8,0.5333333333333333,0.6,5,0.559097584952496,0.8
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.5,0.6230715891594052,114,9,0.6,0.6666666666666666,1,0.6649118060229832,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.5,0.6230715891594052,114,11,0.7333333333333333,0.8,2,0.7788764895934235,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.5,0.6230715891594052,114,12,0.8,0.8666666666666667,3,0.8378701173937168,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.5,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,5,0.9065039413224362,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.5,0.6230715891594052,114,14,0.9333333333333333,1.0,97,0.9940758695016456,0.979381443298969
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.5,0.6230715891594052,114,8,0.5333333333333333,0.6,4,0.5654308657126355,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.5,0.6230715891594052,114,9,0.6,0.6666666666666666,2,0.6223922300077405,1.0
