dataset,seed,model,calibration,shift,severity,temperature,n_test,coverage,risk
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,0.6,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,0.7000000000000001,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,0.8,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,0.9,0.009708737864077669
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.0,0.6230715891594052,114,1.0,0.05263157894736842
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,0.6,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,0.7000000000000001,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,0.8,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,0.9,0.009708737864077669
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.0,0.6230715891594052,114,1.0,0.05263157894736842
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,0.6,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,0.7000000000000001,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,0.8,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,0.9,0.019417475728155338
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,0.25,0.6230715891594052,114,1.0,0.05263157894736842
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,0.1,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,0.2,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,0.30000000000000004,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,0.4,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,0.5,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,0.25,0.6230715891594052,114,0.6,0.0
