dataset,model,calibration,shift,severity,accuracy,mean_confidence,confidence_gap,ece,brier,nll,aurc,accuracy_ci95,mean_confidence_ci95,confidence_gap_ci95,ece_ci95,brier_ci95,nll_ci95,aurc_ci95
Breast Cancer,Gradient Boosting,Raw,Feature masking,0.0,0.9631578947368421,0.9743644698264833,0.011206575089641135,0.030698476447568894,0.05781730889485533,0.11260735392998836,0.004548380065314975,0.006786100311751666,0.0029627782613908284,0.0070472604584928406,0.004723640801477769,0.00885390316045345,0.021665431447546152,0.001801542834689713
Breast Cancer,Gradient Boosting,Raw,Feature masking,0.1,0.9592105263157894,0.9684447627142794,0.009234236398489887,0.03345816706690583,0.06300313896923873,0.12320608577920815,0.006050675349558318,0.007512390072447378,0.002630375294073819,0.0066237841453883955,0.004401662952449465,0.01006456264184498,0.023378571108563864,0.0022193937057996237
Breast Cancer,Gradient Boosting,Raw,Feature masking,0.2,0.9464912280701754,0.9618231007740741,0.015331872703898663,0.03718048981011703,0.07699865000643698,0.14284122952822859,0.008213472589998189,0.008542025054206804,0.003517814106638055,0.007893313506676282,0.006142658859113302,0.012646076028869649,0.02751860060738206,0.0030938129017282355
Breast Cancer,Gradient Boosting,Raw,Feature masking,0.3,0.9421052631578947,0.951774955473684,0.00966969231578919,0.039367867816502956,0.08703704721566205,0.1600404509214104,0.010010025056425554,0.009531929972755992,0.004813756043642928,0.008271567943899948,0.005071376010827888,0.012643679385550798,0.02422670729870022,0.002821391894932533
Breast Cancer,Gradient Boosting,Raw,Feature masking,0.4,0.9333333333333333,0.937460127264137,0.004126793930803585,0.04605449952411903,0.10469041679690398,0.1912471441030425,0.014821279827735628,0.01008702956411942,0.006005118966094333,0.01139193509037777,0.007808085719035839,0.0171706852631164,0.03440012802058228,0.005028063463766689
Breast Cancer,Gradient Boosting,Raw,Feature masking,0.5,0.9105263157894736,0.9200575149440825,0.009531199154608826,0.06021700508984902,0.13779922967437647,0.23606629327841597,0.02168373038188109,0.016762287781949426,0.005840152808343855,0.014896712298156643,0.00789040096526308,0.02218936089155103,0.03542988440945557,0.005925379998728528
Breast Cancer,Gradient Boosting,Raw,Gaussian noise,0.0,0.9631578947368421,0.9743644698264833,0.011206575089641135,0.030698476447568894,0.05781730889485533,0.11260735392998836,0.004548380065314975,0.006786100311751666,0.0029627782613908284,0.0070472604584928406,0.004723640801477769,0.00885390316045345,0.021665431447546152,0.001801542834689713
Breast Cancer,Gradient Boosting,Raw,Gaussian noise,0.25,0.9543859649122807,0.9689871994610311,0.014601234548750397,0.03573819330573671,0.06782347007693065,0.12055441834614852,0.004966464899924348,0.0075459680534077965,0.0034706902564774493,0.007347500827220446,0.004447888178151171,0.010323362232094754,0.02110312260517095,0.0018095864651852362
Breast Cancer,Gradient Boosting,Raw,Gaussian noise,0.5,0.9368421052631579,0.9485697707594329,0.01172766549627508,0.04241402230512414,0.09827840925993292,0.17482282455513018,0.011582297048158231,0.007849138863659243,0.004355680262204441,0.008984711788204126,0.005860342523121241,0.011704222476426874,0.022702713405467253,0.0035426922132949057
Breast Cancer,Gradient Boosting,Raw,Gaussian noise,1.0,0.8570175438596491,0.9039552807763716,0.04693773691672247,0.07986116786721331,0.21186614019628594,0.3496033496899216,0.04425854933304747,0.01578229240611763,0.005990263666880153,0.016230684501934507,0.013530624538665973,0.027461747655189266,0.04861940556737024,0.011064350295468468
Breast Cancer,Gradient Boosting,Raw,Gaussian noise,1.5,0.7736842105263158,0.8706156101271427,0.09693139960082697,0.11521844288232737,0.3153485179534759,0.5071790850277602,0.09499422945398053,0.01978471223570932,0.0074612175485668205,0.02196971278710839,0.019748043914517628,0.028844988073219363,0.050956822533026566,0.014935340098471028
Breast Cancer,Gradient Boosting,Raw,Gaussian noise,2.0,0.7293859649122807,0.8556529402855132,0.12626697537323245,0.1539773086685659,0.3909439426291281,0.6359335711902891,0.14589460456486883,0.022770668882537263,0.007114926525819059,0.023955589074279523,0.018058568922982136,0.03189530851893147,0.052391287623138834,0.016924253857087068
Breast Cancer,Gradient Boosting,Temperature scaled,Feature masking,0.0,0.9631578947368421,0.9629851645959739,-0.0001727301408680604,0.03451857904025939,0.057816048731678074,0.11349010621584968,0.004548380065314975,0.006786100311751666,0.006180795997701155,0.00893245337141921,0.004419008727827333,0.008169162185094864,0.020220267868004616,0.001801542834689713
Breast Cancer,Gradient Boosting,Temperature scaled,Feature masking,0.1,0.9592105263157894,0.9548225022823486,-0.004388024033440852,0.03636533299689364,0.0635285157330325,0.12594898894953152,0.006050675349558318,0.007512390072447378,0.00724422656270438,0.00956037578872907,0.00494263464228839,0.009388132912619538,0.022296982494931606,0.0022193937057996237
Breast Cancer,Gradient Boosting,Temperature scaled,Feature masking,0.2,0.9464912280701754,0.9451901320302202,-0.0013010960399551686,0.03880855111671198,0.07793602597386282,0.14733288919280613,0.008213472589998189,0.008542025054206804,0.007801805611237113,0.01204295685645275,0.00781797626130317,0.012250715297865379,0.027987085668657326,0.0030938129017282355
Breast Cancer,Gradient Boosting,Temperature scaled,Feature masking,0.3,0.9421052631578947,0.9326539173161876,-0.009451345841707126,0.04882728925303609,0.08917318779612557,0.1675874238348714,0.010010025056425554,0.009531929972755992,0.00990213532066502,0.013114331282964319,0.007566716551785106,0.012667138889869325,0.027208139261188927,0.002821391894932533
